"Number";"Ettevõtja nimi";"Registrikood";"Kehtivuse algus";"Kehtiv";"Tegevusala";"Tegevuskoha aadress"
"KTO025284";"Ports Resto OÜ";"17238065";"01.08.2025";"Jah";"Toitlustamine";"Pikk tn 36, Kesklinna linnaosa, Tallinn, Harju maakond, 10133"
"KTO025338";"F.Resto OÜ";"17259624";"01.08.2025";"Jah";"Toitlustamine";"Võrgu tn 3-1, Põhja-Tallinna linnaosa, Tallinn, Harju maakond, 10415"
"KTO025339";"SS Pioneer OÜ";"12021496";"01.08.2025";"Jah";"Toitlustamine";"Kitsas tn 5, Tartu linn, Tartu linn, Tartu maakond, 51003"
"KTO025340";"OÜ Köstri Ait";"17290083";"01.08.2025";"Jah";"Toitlustamine";"Suur tn 9, Palamuse alevik, Jõgeva vald, Jõgeva maakond, 49226"
"";"";"";"";"";"";"Suur tn 9, Palamuse alevik, Jõgeva vald, Jõgeva maakond, 49227"
"KTO025215";"Elwa Entertainment Group OÜ";"17146185";"31.07.2025";"Jah";"Toitlustamine";"Pikk tn 43, Elva linn, Elva vald, Tartu maakond, 61505"
"KTO025336";"Gaufres belges OÜ";"16383026";"31.07.2025";"Jah";"Toitlustamine";"Vana-Viru tn 6, Kesklinna linnaosa, Tallinn, Harju maakond, 110100"
"";"";"";"";"";"";"Vana-Posti tn 2, Kesklinna linnaosa, Tallinn, Harju maakond, 110111"
"KTO025337";"JAHH Pagarid OÜ";"14945885";"31.07.2025";"Jah";"Toitlustamine";"Tartu mnt 82, Kesklinna linnaosa, Tallinn, Harju maakond, 10112"
"";"";"";"";"";"";"Laine tn 12, Võsu alevik, Haljala vald, Lääne-Viru maakond, 45501"
"KTO025334";"Mister Murka OÜ";"16578304";"30.07.2025";"Jah";"Toitlustamine";"Kotzebue tn 27-6, Põhja-Tallinna linnaosa, Tallinn, Harju maakond, 10412"
"KTO025332";"OÜ Vivere";"12876714";"26.07.2025";"Jah";"Toitlustamine";"Laratsi, Koimla küla, Saaremaa vald, Saare maakond"
"KTO025331";"Hubala OÜ";"17238740";"25.07.2025";"Jah";"Toitlustamine";"Liivalao tn 11, Nõmme linnaosa, Tallinn, Harju maakond, 11216"
"KTO025328";"Toiteko OÜ";"16789633";"24.07.2025";"Jah";"Toitlustamine";"Paide tee 26, Koeru alevik, Järva vald, Järva maakond, 73001"
"KTO025329";"ESGC Trade OÜ";"17215093";"24.07.2025";"Jah";"Toitlustamine";"Narva mnt 95, Kesklinna linnaosa, Tallinn, Harju maakond, 10127"
"KTO025330";"LSPN trade OÜ";"17215377";"24.07.2025";"Jah";"Toitlustamine";"Narva mnt 95, Kesklinna linnaosa, Tallinn, Harju maakond, 10127"
"KTO025326";"Villade Haldus OÜ";"11528537";"23.07.2025";"Jah";"Toitlustamine";"Pillapalu, Pillapalu küla, Anija vald, Harju maakond"
"KTO025325";"OÜ LaFiesta";"16334588";"23.07.2025";"Jah";"Toitlustamine";"Lootsi tn 3a, Kesklinna linnaosa, Tallinn, Harju maakond, 10151"
"KTO025327";"Abcanime OÜ";"14041155";"23.07.2025";"Jah";"Toitlustamine";"Narva mnt 7c, Kesklinna linnaosa, Tallinn, Harju maakond, 10117"
"KTO025323";"Sinimandria Restoran OÜ";"17142129";"22.07.2025";"Jah";"Toitlustamine";"Kompanii tn 2, Tartu linn, Tartu linn, Tartu maakond, 51007"
"KTO025324";"ESTMA HPT OÜ";"14781722";"22.07.2025";"Jah";"Toitlustamine";"Sadama tn 4, Kesklinna linnaosa, Tallinn, Harju maakond, 10111"
"KTO025319";"Kaks Pizzat OÜ";"17247638";"21.07.2025";"Jah";"Toitlustamine";"Tallinna mnt 1-3, Haapsalu linn, Haapsalu linn, Lääne maakond, 90507"
"KTO025320";"RAB INVEST OÜ";"17228977";"21.07.2025";"Jah";"Toitlustamine";"Kruusamäe tn 34-47, Tartu linn, Tartu linn, Tartu maakond, 50304"
"KTO025321";"Juyal & Juyal OÜ";"17210977";"21.07.2025";"Jah";"Toitlustamine";"F. R. Kreutzwaldi tn 52, Võru linn, Võru maakond, 65610"
"KTO025322";"Mad Grouse OÜ";"17143071";"21.07.2025";"Jah";"Toitlustamine";"Metsise, Krei küla, Kose vald, Harju maakond, 75104"
"KTO025318";"OÜ Puente Norte";"17202268";"20.07.2025";"Jah";"Toitlustamine";"Vesilennuki tn 24-113, Põhja-Tallinna linnaosa, Tallinn, Harju maakond, 10450"
"KTO025317";"UCE concerts OÜ";"14844316";"19.07.2025";"Jah";"Toitlustamine";"Peetri tn 6, Põhja-Tallinna linnaosa, Tallinn, Harju maakond"
"";"";"";"";"";"";"Peetri tn 6, Põhja-Tallinna linnaosa, Tallinn, Harju maakond, 10414"
"KTO025316";"Kosmilised Maitsed OÜ";"17229132";"18.07.2025";"Jah";"Toitlustamine";""
"KTO025315";"ASIAN TASTE OÜ";"17254199";"16.07.2025";"Jah";"Toitlustamine";"Tallinna tn 19a, Kuressaare linn, Saaremaa vald, Saare maakond, 93811"
"";"";"";"";"";"";"Tallinna tn 19a, Kuressaare linn, Saaremaa vald, Saare maakond, 93811"
"KTO025314";"Osaühing Matkaabi";"11008134";"15.07.2025";"Jah";"Toitlustamine";"Kiidepää, Kiidjärve küla, Põlva vald, Põlva maakond, 63604"
"KTO025312";"Stay & Sip OÜ";"17281687";"14.07.2025";"Jah";"Toitlustamine";"Ääre tn 6-2, Vaela küla, Kiili vald, Harju maakond, 75413"
"KTO025313";"Jerwakant MTÜ";"80595289";"14.07.2025";"Jah";"Toitlustamine";"Oraste, Valli küla, Rapla vald, Rapla maakond, 78413"
"KTO025311";"Seaside Services OÜ";"12832786";"13.07.2025";"Jah";"Toitlustamine";"Kõiguste sadam, Kõiguste küla, Saaremaa vald, Saare maakond, 94421"
"KTO025308";"Virukohvik OÜ";"17279816";"11.07.2025";"Jah";"Toitlustamine";"Viru pst 18a, Sillamäe linn, Ida-Viru maakond, 40232"
"KTO025309";"Mittetulundusühing Kanepi RomuTeam";"80561095";"11.07.2025";"Jah";"Toitlustamine";"Tehnika tn 18, Kanepi alevik, Kanepi vald, Põlva maakond, 63101"
"KTO025310";"Toost OÜ";"17274598";"11.07.2025";"Jah";"Toitlustamine";"Väike-Turu tn 5-38, Tartu linn, Tartu linn, Tartu maakond, 51004"
"KTO025306";"ASK Intergroup OÜ";"12232253";"10.07.2025";"Jah";"Toitlustamine";"Narva mnt 7, Kesklinna linnaosa, Tallinn, Harju maakond, 10117"
"KTO025305";"ConsGer OÜ";"16893595";"08.07.2025";"Jah";"Toitlustamine";"Tööstuse tee 5, Tõrvandi alevik, Kambja vald, Tartu maakond, 61715"
"KTO025303";"BOBA OÜ";"16730373";"08.07.2025";"Jah";"Toitlustamine";"Tallinna tn 27, Kuressaare linn, Saaremaa vald, Saare maakond, 93811"
"KTO025304";"OÜ ?okk ja Skandaal";"17267471";"08.07.2025";"Jah";"Toitlustamine";"Mere pst 14, Pärnu linn, Pärnu linn, Pärnu maakond, 80012"
"KTO025302";"Frent OÜ";"12196089";"07.07.2025";"Jah";"Toitlustamine";"Liini tee 13, Valgeranna küla, Pärnu linn, Pärnu maakond, 88326"
"KTO025301";"TaluGurmee OÜ";"16936132";"05.07.2025";"Jah";"Toitlustamine";"Märdi, Luke küla, Nõo vald, Tartu maakond, 61614"
"KTO025299";"AllClean OÜ";"11532881";"04.07.2025";"Jah";"Toitlustamine";"Ranna, Suureranna küla, Hiiumaa vald, Hiiu maakond, 92225"
"KTO025300";"HasGa OÜ";"17236244";"04.07.2025";"Jah";"Toitlustamine";"A. H. Tammsaare tee 98, Mustamäe linnaosa, Tallinn, Harju maakond"
"KTO025298";"Tikkilugu OÜ";"17227280";"03.07.2025";"Jah";"Toitlustamine";"Kopli tn 69a, Põhja-Tallinna linnaosa, Tallinn, Harju maakond, 10314"
"KTO025297";"Soveldaja Loomeleek OÜ";"17093997";"03.07.2025";"Jah";"Toitlustamine";"Kalaranna tn 28, Põhja-Tallinna linnaosa, Tallinn, Harju maakond, 10415"
"KTO025294";"mittetulundusühing Vormsi Tuletorni linnak";"80259290";"01.07.2025";"Jah";"Toitlustamine";"Saxby majaka tee L1, Saxby küla, Vormsi vald, Lääne maakond, 91311"
"KTO025295";"Vooglind OÜ";"14768801";"01.07.2025";"Jah";"Toitlustamine";""
"KTO025291";"Kajali OÜ";"16080372";"30.06.2025";"Jah";"Toitlustamine";"Rüütli tn 36, Pärnu linn, Pärnu linn, Pärnu maakond"
"KTO025292";"Aivaravai OÜ";"17138043";"30.06.2025";"Jah";"Toitlustamine";"Tallinna mnt 70/2, Pärnu linn, Pärnu linn, Pärnu maakond"
"KTO025293";"Hara Holding OÜ";"14438906";"30.06.2025";"Jah";"Toitlustamine";"Juurika, Hara küla, Kuusalu vald, Harju maakond, 74810"
"KTO025290";"Vivenor OÜ";"17233464";"29.06.2025";"Jah";"Toitlustamine";"Ojaääre tn 6, Vahi alevik, Tartu vald, Tartu maakond, 60534"
"KTO025289";"Osaühing Männikohvik";"17263904";"27.06.2025";"Jah";"Toitlustamine";"Riia mnt 110b, Pärnu linn, Pärnu linn, Pärnu maakond, 80010"
"KTO025285";"Kolme Põlvkonna Kohvik OÜ";"17200105";"26.06.2025";"Jah";"Toitlustamine";"Tooma-Sassi, Vilusi küla, Mustvee vald, Jõgeva maakond, 42007"
"KTO025286";"OÜ Parim Finants";"17266726";"26.06.2025";"Jah";"Toitlustamine";""
"KTO025287";"Rõõmüks OÜ";"16840877";"26.06.2025";"Jah";"Toitlustamine";"Köstri-1, Hullo küla, Vormsi vald, Lääne maakond, 91301"
"KTO025288";"Julounge OÜ";"16712174";"26.06.2025";"Jah";"Toitlustamine";"Tartu mnt 29, Kesklinna linnaosa, Tallinn, Harju maakond, 10128"
"KTO025281";"Rummu Grill OÜ";"17151269";"25.06.2025";"Jah";"Toitlustamine";"Kooli tn 1, Rummu alevik, Lääne-Harju vald, Harju maakond, 76102"
"KTO025282";"Hiina Kulp OÜ";"16998704";"25.06.2025";"Jah";"Toitlustamine";"Viru väljak 4, Kesklinna linnaosa, Tallinn, Harju maakond, 10111"
"KTO025283";"Eesti Noore Arhitektuuri Selts";"80131176";"25.06.2025";"Jah";"Toitlustamine";"Riia tn 5, Valga linn, Valga vald, Valga maakond, 68203"
