registrikood;nimi;riik_kood;url;load_luba_tyyp;load_luba_number;load_luba_staatus;load_luba_url;load_luba_valdkond;load_luba_tegevusala;load_luba_emtak_kood;load_luba_kehtiv_alates;load_luba_kehtiv_kuni;load_luba_emtak
10238429;Aktsiaselts Tallink Grupp;EST;https://mtr.ttja.ee/juriidiline_isik/61881;Majandustegevusteade;KTO008001;kehtiv;https://mtr.ttja.ee/taotluse_tulemus/295916;Kaubandus;Toitlustamine;56301;2008-04-18;;
10238429;Aktsiaselts Tallink Grupp;EST;https://mtr.ttja.ee/juriidiline_isik/61881;Majandustegevusteade;KTO009801;kehtiv;https://mtr.ttja.ee/taotluse_tulemus/295541;Kaubandus;Toitlustamine;56301;2009-04-21;;
10238429;Aktsiaselts Tallink Grupp;EST;https://mtr.ttja.ee/juriidiline_isik/61881;Majandustegevusteade;KTO016290;kehtiv;https://mtr.ttja.ee/taotluse_tulemus/297923;Kaubandus;Toitlustamine;56301;2012-06-25;;
10238429;Aktsiaselts Tallink Grupp;EST;https://mtr.ttja.ee/juriidiline_isik/61881;Majandustegevusteade;KTO017264;kehtiv;https://mtr.ttja.ee/taotluse_tulemus/293582;Kaubandus;Toitlustamine;56301;2013-01-17;;
10273940;aktsiaselts AA-LAN;EST;https://mtr.ttja.ee/juriidiline_isik/64319;Majandustegevusteade;KTO002329;kehtiv;https://mtr.ttja.ee/taotluse_tulemus/294760;Kaubandus;Toitlustamine;56301;2005-03-29;;
10291205;Põltsamaa Vallavara OÜ;EST;https://mtr.ttja.ee/juriidiline_isik/157637;Majandustegevusteade;KTO023367;kehtiv;https://mtr.ttja.ee/taotluse_tulemus/543497;Kaubandus;Toitlustamine;56301;2020-09-13;;
10309112;Osaühing Granqvistal;EST;https://mtr.ttja.ee/juriidiline_isik/73546;Majandustegevusteade;KTO004724;kehtiv;https://mtr.ttja.ee/taotluse_tulemus/294154;Kaubandus;Toitlustamine;56301;2005-11-22;;
10320823;BUENO OÜ;EST;https://mtr.ttja.ee/juriidiline_isik/65715;Majandustegevusteade;KTO002912;kehtiv;https://mtr.ttja.ee/taotluse_tulemus/297822;Kaubandus;Toitlustamine;56301;2005-04-15;;
10349560;Aktsiaselts Tallinna Lennujaam;EST;https://mtr.ttja.ee/juriidiline_isik/60928;Majandustegevusteade;KTO001690;kehtiv;https://mtr.ttja.ee/taotluse_tulemus/294758;Kaubandus;Toitlustamine;56301;2004-12-28;;
10349560;Aktsiaselts Tallinna Lennujaam;EST;https://mtr.ttja.ee/juriidiline_isik/60928;Majandustegevusteade;KTO005040;kehtiv;https://mtr.ttja.ee/taotluse_tulemus/297853;Kaubandus;Toitlustamine;56301;2006-04-25;;
10358671;Aktsiaselts Varbla Puhkeküla;EST;https://mtr.ttja.ee/juriidiline_isik/71494;Majandustegevusteade;KTO003131;kehtiv;https://mtr.ttja.ee/taotluse_tulemus/294191;Kaubandus;Toitlustamine;56301;2005-04-22;;
10378604;Padise Grupp OÜ;EST;https://mtr.ttja.ee/juriidiline_isik/66330;Majandustegevusteade;KTO002920;kehtiv;https://mtr.ttja.ee/taotluse_tulemus/294737;Kaubandus;Toitlustamine;56301;2005-04-15;;
10428638;osaühing TULIHEIN;EST;https://mtr.ttja.ee/juriidiline_isik/64164;Majandustegevusteade;KTO003675;kehtiv;https://mtr.ttja.ee/taotluse_tulemus/296310;Kaubandus;Toitlustamine;56301;2005-06-01;;
10433792;OÜ La Casa Nostra;EST;https://mtr.ttja.ee/juriidiline_isik/88452;Majandustegevusteade;KTO024928;kehtiv;https://mtr.ttja.ee/taotluse_tulemus/636509;Kaubandus;Toitlustamine;56301;2024-07-19;;
10541949;AS GoRail;EST;https://mtr.ttja.ee/juriidiline_isik/69937;Majandustegevusteade;KTO006567;kehtiv;https://mtr.ttja.ee/taotluse_tulemus/296292;Kaubandus;Toitlustamine;56301;2007-05-16;;
10541949;AS GoRail;EST;https://mtr.ttja.ee/juriidiline_isik/69937;Majandustegevusteade;KTO006568;kehtiv;https://mtr.ttja.ee/taotluse_tulemus/296293;Kaubandus;Toitlustamine;56301;2007-05-16;;
10541949;AS GoRail;EST;https://mtr.ttja.ee/juriidiline_isik/69937;Majandustegevusteade;KTO006569;kehtiv;https://mtr.ttja.ee/taotluse_tulemus/295529;Kaubandus;Toitlustamine;56301;2007-05-16;;
10541949;AS GoRail;EST;https://mtr.ttja.ee/juriidiline_isik/69937;Majandustegevusteade;KTO006992;kehtiv;https://mtr.ttja.ee/taotluse_tulemus/295137;Kaubandus;Toitlustamine;56301;2007-06-27;;
10553579;Amintor OÜ;EST;https://mtr.ttja.ee/juriidiline_isik/60108;Majandustegevusteade;KTO002508;kehtiv;https://mtr.ttja.ee/taotluse_tulemus/294405;Kaubandus;Toitlustamine;56301;2005-04-06;;
10589270;Hiiekivi Osaühing;EST;https://mtr.ttja.ee/juriidiline_isik/61980;Majandustegevusteade;KTO002703;kehtiv;https://mtr.ttja.ee/taotluse_tulemus/295198;Kaubandus;Toitlustamine;56301;2005-04-13;;
10589270;Hiiekivi Osaühing;EST;https://mtr.ttja.ee/juriidiline_isik/61980;Majandustegevusteade;KTO004768;kehtiv;https://mtr.ttja.ee/taotluse_tulemus/294155;Kaubandus;Toitlustamine;56301;2005-12-14;;
10589270;Hiiekivi Osaühing;EST;https://mtr.ttja.ee/juriidiline_isik/61980;Majandustegevusteade;KTO006184;kehtiv;https://mtr.ttja.ee/taotluse_tulemus/297820;Kaubandus;Toitlustamine;56301;2006-12-12;;
10625758;Osaühing Aara;EST;https://mtr.ttja.ee/juriidiline_isik/65474;Majandustegevusteade;KTO003731;kehtiv;https://mtr.ttja.ee/taotluse_tulemus/294145;Kaubandus;Toitlustamine;56301;2005-06-06;;
10656167;Osaühing Jäneda Mõis;EST;https://mtr.ttja.ee/juriidiline_isik/62188;Majandustegevusteade;KTO002559;kehtiv;https://mtr.ttja.ee/taotluse_tulemus/295558;Kaubandus;Toitlustamine;56301;2005-04-08;;
10656167;Osaühing Jäneda Mõis;EST;https://mtr.ttja.ee/juriidiline_isik/62188;Majandustegevusteade;KTO002564;kehtiv;https://mtr.ttja.ee/taotluse_tulemus/294452;Kaubandus;Toitlustamine;56301;2005-04-08;;
10656167;Osaühing Jäneda Mõis;EST;https://mtr.ttja.ee/juriidiline_isik/62188;Majandustegevusteade;KTO002567;kehtiv;https://mtr.ttja.ee/taotluse_tulemus/297841;Kaubandus;Toitlustamine;56301;2005-04-08;;
10721509;Riho Keskpaik;EST;https://mtr.ttja.ee/juriidiline_isik/111950;Majandustegevusteade;KTO023735;kehtiv;https://mtr.ttja.ee/taotluse_tulemus/559805;Kaubandus;Toitlustamine;56301;2021-06-22;;
10790187;MELLSON GRUPP OÜ;EST;https://mtr.ttja.ee/juriidiline_isik/70703;Majandustegevusteade;KTO008840;kehtiv;https://mtr.ttja.ee/taotluse_tulemus/295876;Kaubandus;Toitlustamine;56301;2008-07-18;;
10810378;osaühing Enera;EST;https://mtr.ttja.ee/juriidiline_isik/99381;Majandustegevusteade;KTO024828;kehtiv;https://mtr.ttja.ee/taotluse_tulemus/633264;Kaubandus;Toitlustamine;56301;2024-05-23;;
10901508;Osaühing Vimco Grupp;EST;https://mtr.ttja.ee/juriidiline_isik/89917;Majandustegevusteade;KTO012828;kehtiv;https://mtr.ttja.ee/taotluse_tulemus/297753;Kaubandus;Toitlustamine;56301;2010-07-13;;
10909734;Osaühing Globus Invest;EST;https://mtr.ttja.ee/juriidiline_isik/72469;Majandustegevusteade;KTO023411;kehtiv;https://mtr.ttja.ee/taotluse_tulemus/545910;Kaubandus;Toitlustamine;56301;2020-10-21;;
10911412;OÜ Parem Kinnisvara;EST;https://mtr.ttja.ee/juriidiline_isik/72622;Majandustegevusteade;KTO009421;kehtiv;https://mtr.ttja.ee/taotluse_tulemus/296685;Kaubandus;Toitlustamine;56301;2008-11-26;;
10949704;Piko Hobikross Osaühing;EST;https://mtr.ttja.ee/juriidiline_isik/78096;Majandustegevusteade;KTO008044;kehtiv;https://mtr.ttja.ee/taotluse_tulemus/297809;Kaubandus;Toitlustamine;56301;2008-04-28;;
10967453;osaühing Raiesmaa;EST;https://mtr.ttja.ee/juriidiline_isik/97328;Majandustegevusteade;KTO017368;kehtiv;https://mtr.ttja.ee/taotluse_tulemus/297916;Kaubandus;Toitlustamine;56301;2013-03-14;;
10972827;Osaühing KEANO;EST;https://mtr.ttja.ee/juriidiline_isik/76107;Majandustegevusteade;KTO006100;kehtiv;https://mtr.ttja.ee/taotluse_tulemus/295527;Kaubandus;Toitlustamine;56301;2006-11-01;;
10995857;Osaühing Maxime;EST;https://mtr.ttja.ee/juriidiline_isik/67326;Majandustegevusteade;KTO013886;kehtiv;https://mtr.ttja.ee/taotluse_tulemus/295265;Kaubandus;Toitlustamine;56301;2011-04-07;;
11022743;Gromell OÜ;EST;https://mtr.ttja.ee/juriidiline_isik/81688;Majandustegevusteade;KTO016472;kehtiv;https://mtr.ttja.ee/taotluse_tulemus/294628;Kaubandus;Toitlustamine;56301;2012-07-10;;
11031400;Osaühing Kivikodu;EST;https://mtr.ttja.ee/juriidiline_isik/90132;Majandustegevusteade;KTO011923;kehtiv;https://mtr.ttja.ee/taotluse_tulemus/296073;Kaubandus;Toitlustamine;56301;2010-05-04;;
